ERI,Eritrea,2019,1302,41,17,39,44,-,-,30,-,-,-,-,-,-,-,-,59,-,-,35,-,-,20,33,21,46,-,-,-,-,-,-,-,-,-,26,17,57,46,25,29,5,-,-,-,-,-,-,-,-,-,-,-,3,-,-,8,-,-
EST,Estonia,2019,229,69,27,40,33,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
SWZ,Eswatini,2019,429,24,21,48,31,-,-,14,-,-,-,-,-,-,-,-,-,-,-,17,-,-,9,-,-,<1,-,-,-,-,-,-,-,-,-,-,-,<1,-,-,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ETH,Ethiopia,2019,41527,21,22,41,37,15,8,76,-,-,-,37,13,50,-,-,-,15,6,80,22,31,47,40,20,39,-,-,-,23,54,23,-,-,-,39,21,40,61,11,28,5,15,80,-,-,-,1,2,97,-,-,-,5,14,81,8,25,68
FJI,Fiji,2019,266,57,20,39,40,88,5,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76,14,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61,27,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FIN,Finland,2019,964,85,25,39,37,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
FRA,France,2019,12496,81,20,34,46,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
GMB,Gambia,2019,955,62,29,39,32,-,-,23,-,-,-,-,-,-,-,-,31,-,-,15,-,-,11,63,37,<1,-,-,-,-,-,-,38,-,-,83,17,<1,80,20,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GEO,Georgia,2019,745,59,22,43,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<1,-,-,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<1,-,-,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<1,-,-,<1
DEU,Germany,2019,12018,77,17,24,59,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
GHA,Ghana,2019,10305,57,15,42,43,71,<1,29,85,10,5,73,11,16,79,6,15,76,8,16,79,14,6,64,14,23,72,20,8,57,20,23,64,16,19,62,12,25,65,19,16,54,8,38,65,6,29,45,10,46,56,7,37,52,9,40,52,8,39
GIB,Gibraltar,2019,5,100,9,54,37,>99,<1,<1,>99,<1,<1,NA,NA,NA,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,>99,<1,<1,NA,NA,NA,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,>99,<1,<1,NA,NA,NA,-,-,-,>99,<1,<1,>99,<1,<1
GRD,Grenada,2019,24,36,15,53,32,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,99,1,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
GTM,Guatemala,2019,5468,51,22,42,36,-,-,19,-,-,<1,-,-,27,-,-,-,-,-,19,-,-,-,76,-,-,-,-,1,-,-,-,-,-,-,76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GIN,Guinea,2019,5242,37,21,39,39,9,24,67,-,-,44,-,-,80,-,-,15,9,25,65,-,-,-,-,-,18,-,-,7,-,-,32,-,-,22,-,-,22,-,-,6,-,-,68,-,-,-,-,-,-,-,-,-,-,-,68,-,-,-
GNB,Guinea-Bissau,2019,730,44,23,42,35,59,6,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,20,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,13,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HTI,Haiti,2019,3843,56,20,38,42,-,-,42,-,-,-,-,-,-,-,-,-,-,-,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HND,Honduras,2019,2853,58,21,42,36,68,10,22,-,-,-,74,6,20,-,-,-,65,-,-,52,-,-,82,-,-,-,-,-,23,66,11,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,19,29,52,-,-,-,5,-,-,21,-,-
HUN,Hungary,2019,1519,72,24,25,51,>99,<1,<1,-,-,-,-,-,-,-,-,<1,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
IND,India,2019,376155,34,20,33,47,67,27,6,72,21,7,67,25,8,-,-,-,67,25,8,75,18,6,64,19,16,71,15,14,63,19,18,-,-,-,64,19,17,73,9,18,53,23,25,58,26,16,52,22,26,-,-,-,53,22,25,53,29,17
IDN,Indonesia,2019,65269,56,15,43,43,73,11,17,-,-,<1,-,-,<1,70,2,27,72,11,17,75,11,14,40,46,13,-,-,-,-,-,-,28,53,19,37,50,13,50,34,16,59,10,31,-,-,-,-,-,-,57,5,38,59,11,30,57,10,33
IRQ,Iraq,2019,12794,71,16,45,39,-,-,16,-,-,-,-,-,-,-,-,2,-,-,19,-,-,9,-,-,14,-,-,-,-,-,-,-,-,2,-,-,18,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ISR,Israel,2019,2217,93,22,41,36,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
ITA,Italy,2019,9085,71,19,31,50,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
JAM,Jamaica,2019,638,56,20,43,37,95,-,-,-,-,-,-,-,-,-,-,-,94,-,-,96,-,-,95,-,-,-,-,-,-,-,-,-,-,-,94,-,-,96,-,-,97,-,-,-,-,-,-,-,-,-,-,-,96,-,-,97,-,-
JOR,Jordan,2019,3170,91,15,44,40,93,7,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,66,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KEN,Kenya,2019,20280,28,22,41,37,-,-,-,-,-,-,72,3,25,-,-,-,-,-,-,-,-,-,-,-,<1,-,-,<1,50,46,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,13,85,-,-,-,-,-,-,-,-,-
KIR,Kiribati,2019,41,55,21,41,37,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KWT,Kuwait,2019,780,100,16,40,44,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
KGZ,Kyrgyzstan,2019,1776,37,30,29,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
LAO,Lao People's Democratic Republic,2019,2239,36,20,34,45,-,-,33,-,-,18,-,-,43,-,-,-,-,-,33,-,-,-,16,62,22,23,61,16,11,63,26,-,-,-,16,62,22,-,-,-,35,-,-,37,-,-,26,-,-,-,-,-,35,-,-,-,-,-
LVA,Latvia,2019,252,68,33,47,20,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1
LBN,Lebanon,2019,1678,89,19,39,42,59,<1,40,-,-,-,-,-,-,57,3,40,60,3,37,61,3,37,93,7,<1,-,-,-,-,-,-,92,7,1,92,7,<1,95,4,1,36,60,4,-,-,-,-,-,-,34,62,4,34,62,5,46,51,3
LSO,Lesotho,2019,657,29,20,46,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LBR,Liberia,2019,1881,52,23,41,36,50,2,48,59,3,37,36,5,60,-,-,-,44,13,42,65,11,24,27,40,33,35,45,20,22,22,56,-,-,-,24,37,39,35,48,17,69,16,15,77,13,10,61,20,19,-,-,-,67,17,17,75,15,9
LBY,Libya,2019,1709,80,15,45,40,17,67,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61,39,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,82,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MDG,Madagascar,2019,10036,38,22,35,43,-,-,63,-,-,-,-,-,-,-,-,-,-,-,63,-,-,74,62,10,28,80,-,-,60,-,-,-,-,-,62,3,36,52,27,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MWI,Malawi,2019,7709,17,23,42,36,78,15,8,-,-,3,68,24,8,-,-,-,87,4,8,82,13,5,65,19,16,74,4,22,62,22,16,-,-,-,75,6,19,56,8,35,21,3,76,-,-,55,13,11,76,-,-,-,28,13,59,-,-,63
MYS,Malaysia,2019,7389,77,13,41,46,98,2,<1,-,-,-,-,-,-,-,-,-,97,3,<1,99,1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,98,2,<1,-,-,-,-,-,-,-,-,-,97,3,<1,98,2,<1
MDV,Maldives,2019,99,40,23,51,26,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MLI,Mali,2019,8400,43,28,40,32,70,24,6,87,10,3,60,14,26,-,-,-,70,28,2,-,-,-,30,51,19,25,66,9,42,39,19,-,-,-,30,51,19,20,-,-,63,18,19,74,14,12,38,14,48,-,-,-,63,18,19,-,-,-
MHL,Marshall Islands,2019,21,77,16,42,42,3,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,27,-,-,-,-,-,-,-,-,-,-,-,27,-,-,-,-,-,36,-,-,-,-,-,-,-,-,-,-,-,36,-,-,-,-,-
MRT,Mauritania,2019,1708,55,22,39,39,-,-,79,-,-,-,-,-,-,-,-,-,-,-,82,-,-,58,21,18,60,-,-,-,-,-,-,-,-,-,20,20,60,32,2,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MUS,Mauritius,2019,238,41,11,36,53,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,-,-,-,-,-,-,>99,<1,<1,>99,<1,<1,86,-,-,-,-,-,-,-,-,-,-,-,89,-,-,84,-,-
MEX,Mexico,2019,33555,80,20,40,40,-,-,15,-,-,3,-,-,23,61,29,10,-,-,17,49,37,14,74,20,6,-,-,2,-,-,-,-,-,6,74,20,6,80,16,5,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,82,-,-
MCO,Monaco,2019,10,100,19,39,42,>99,<1,<1,-,-,-,NA,NA,NA,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,NA,NA,NA,-,-,-,>99,<1,<1,>99,<1,<1,>99,<1,<1,-,-,-,NA,NA,NA,-,-,-,>99,<1,<1,>99,<1,<1
